x,y
0,2.0
1,2.0
2,2.0
3,2.0
4,2.0
5,7.0
6,8.0
7,8.0
8,9.0
9,9.0
10,9.0
11,10.0
12,10.0
13,11.0
14,11.0
15,11.0
16,12.0
17,12.0
18,12.0
19,12.0
20,14.0
21,14.0
22,14.0
23,14.0
24,14.0
25,14.0
26,15.0
27,15.0
28,15.0
29,15.0
30,15.0
31,15.0
32,15.0
33,15.0
34,15.0
35,15.0
36,15.0
37,15.0
38,15.0
39,15.0
40,15.0
41,15.0
42,15.0
43,15.0
44,15.0
45,15.0
46,15.0
47,15.0
48,15.0
49,15.0
50,15.0
51,15.0
52,15.0
53,15.0
54,15.0
55,15.0
56,15.0
57,15.0
58,15.0
59,15.0
60,15.0
61,15.0
62,15.0
63,15.0
64,15.0
65,15.0
66,15.0
67,15.0
68,15.0
