x,y
0,1.0
1,2.0
2,2.0
3,2.0
4,2.0
5,2.0
6,2.0
7,2.0
8,2.0
9,3.0
10,3.0
11,3.0
12,3.0
13,3.0
14,3.0
15,9.0
16,9.0
17,13.0
18,13.0
19,13.0
20,13.0
21,14.0
22,14.0
23,14.0
24,14.0
25,14.0
26,14.0
27,15.0
28,15.0
29,15.0
30,15.0
31,15.0
32,15.0
33,15.0
34,15.0
35,15.0
36,15.0
37,15.0
38,15.0
39,15.0
40,15.0
41,15.0
42,15.0
43,15.0
44,15.0
45,15.0
46,17.0
47,17.0
48,17.0
49,17.0
50,18.0
51,18.0
52,18.0
53,18.0
54,18.0
55,18.0
56,18.0
57,18.0
58,18.0
59,18.0
60,18.0
61,18.0
62,18.0
63,18.0
64,18.0
65,18.0
66,18.0
67,18.0
68,18.0
69,18.0
70,18.0
71,18.0
72,18.0
73,18.0
74,18.0
75,18.0
76,18.0
77,18.0
78,18.0
79,18.0
