x,y
0,1.0
1,1.0
2,1.0
3,1.0
4,8.0
5,10.0
6,16.0
7,21.0
8,21.0
9,23.0
10,36.0
11,36.0
12,51.0
13,62.0
14,69.0
15,80.0
16,80.0
17,101.0
18,109.0
19,109.0
20,119.0
21,119.0
22,144.0
23,144.0
24,175.0
25,187.0
26,187.0
27,208.0
28,208.0
29,223.0
30,224.0
31,224.0
32,230.0
33,236.0
34,236.0
35,245.0
36,245.0
37,259.0
38,266.0
39,266.0
40,279.0
41,279.0
42,333.0
43,344.0
44,356.0
45,356.0
46,356.0
47,371.0
48,372.0
49,426.0
50,435.0
51,455.0
52,461.0
53,462.0
54,476.0
55,488.0
56,501.0
57,513.0
58,513.0
59,538.0
60,538.0
61,553.0
62,563.0
63,569.0
64,580.0
65,580.0
66,582.0
67,582.0
68,589.0
69,608.0
70,622.0
71,623.0
72,637.0
73,628.0
74,628.0
75,638.0
76,643.0
77,648.0
78,652.0
79,653.0
80,654.0
81,654.0
82,655.0
83,656.0
84,658.0
85,661.0
86,665.0
87,665.0
88,666.0
89,666.0
90,667.0
91,670.0
92,671.0
93,671.0
94,671.0
95,671.0
