x,y
0,1.0
1,1.0
2,1.0
3,5.0
4,5.0
5,5.0
6,11.0
7,15.0
8,20.0
9,21.0
10,45.0
11,86.0
12,103.0
13,103.0
14,118.0
15,171.0
16,171.0
17,274.0
18,344.0
19,392.0
20,511.0
21,562.0
22,767.0
23,900.0
24,1012.0
25,1104.0
26,1203.0
27,1299.0
28,1453.0
29,1563.0
30,1720.0
31,1885.0
32,2039.0
33,2179.0
34,2402.0
35,2605.0
36,2795.0
37,2932.0
38,3287.0
39,3651.0
40,4033.0
41,4462.0
42,4934.0
43,5369.0
44,5862.0
45,6380.0
46,7142.0
47,8274.0
48,9362.0
49,10484.0
50,11631.0
51,12772.0
52,13930.0
53,15102.0
54,16299.0
55,17522.0
56,18811.0
57,20077.0
58,21402.0
59,22753.0
60,24097.0
61,25459.0
62,27011.0
63,28656.0
64,30251.0
65,31938.0
66,33731.0
67,35432.0
68,37136.0
69,39048.0
70,41014.0
71,42925.0
72,44830.0
73,46869.0
74,49176.0
75,52016.0
76,54752.0
77,57345.0
78,59854.0
79,62545.0
80,65077.0
81,67719.0
82,70161.0
83,72560.0
84,74795.0
85,76726.0
86,78541.0
87,80185.0
88,81766.0
89,83384.0
90,85261.0
91,87142.0
