x,y
0,1.0
1,2.0
2,4.0
3,4.0
4,4.0
5,4.0
6,4.0
7,4.0
8,4.0
9,4.0
10,4.0
11,10.0
12,10.0
13,24.0
14,24.0
15,26.0
16,31.0
17,31.0
18,38.0
19,47.0
20,67.0
21,79.0
22,86.0
23,99.0
24,105.0
25,119.0
26,130.0
27,142.0
28,162.0
29,175.0
30,190.0
31,195.0
32,207.0
33,219.0
34,222.0
35,226.0
36,237.0
37,244.0
38,250.0
39,265.0
40,278.0
41,280.0
42,291.0
43,299.0
44,314.0
45,335.0
46,342.0
47,350.0
48,367.0
49,377.0
50,412.0
51,442.0
52,479.0
53,545.0
54,614.0
55,671.0
56,736.0
57,823.0
58,882.0
59,933.0
60,1024.0
61,1115.0
62,1182.0
63,1271.0
64,1329.0
65,1433.0
66,1492.0
67,1551.0
68,1634.0
69,1709.0
70,1886.0
71,1995.0
72,2105.0
73,2189.0
74,2310.0
75,2429.0
76,2480.0
77,2544.0
78,2617.0
79,2714.0
80,2812.0
81,2909.0
82,2976.0
83,3047.0
84,3130.0
85,3161.0
86,3253.0
87,3348.0
88,3429.0
89,3535.0
90,3645.0
91,3739.0
