x,y
0,1.0
1,1.0
2,1.0
3,1.0
4,5.0
5,12.0
6,19.0
7,35.0
8,46.0
9,48.0
10,55.0
11,65.0
12,83.0
13,103.0
14,135.0
15,171.0
16,222.0
17,249.0
18,303.0
19,384.0
20,384.0
21,457.0
22,659.0
23,741.0
24,785.0
25,900.0
26,1060.0
27,1171.0
28,1476.0
29,1624.0
30,1908.0
31,2200.0
32,2447.0
33,2666.0
34,2867.0
35,3105.0
36,3380.0
37,3630.0
38,4054.0
39,4465.0
40,4873.0
41,5318.0
42,5690.0
43,5994.0
44,6318.0
45,6630.0
46,6890.0
47,7144.0
48,7276.0
49,7483.0
50,7779.0
51,8042.0
52,8275.0
53,8497.0
54,8724.0
55,9009.0
56,9009.0
57,9362.0
58,9464.0
59,9557.0
60,9677.0
61,9791.0
62,9848.0
63,9943.0
64,10032.0
65,10032.0
66,10176.0
67,10243.0
68,10295.0
69,10374.0
70,10438.0
71,10496.0
72,10610.0
73,10699.0
74,10733.0
75,10833.0
76,10919.0
77,11024.0
78,11092.0
79,11159.0
80,11193.0
81,11227.0
82,11275.0
83,11300.0
84,11354.0
85,11381.0
86,11412.0
87,11430.0
