x,y
0,1.0
1,2.0
2,2.0
3,2.0
4,4.0
5,6.0
6,6.0
7,6.0
8,7.0
9,7.0
10,8.0
11,8.0
12,10.0
13,10.0
14,11.0
15,13.0
16,15.0
17,26.0
18,30.0
19,35.0
20,43.0
21,50.0
22,61.0
23,64.0
24,82.0
25,82.0
26,93.0
27,93.0
28,104.0
29,104.0
30,124.0
31,136.0
32,155.0
33,166.0
34,178.0
35,199.0
36,225.0
37,231.0
38,257.0
39,291.0
40,307.0
41,338.0
42,338.0
43,387.0
44,408.0
45,447.0
46,462.0
47,505.0
48,519.0
49,534.0
50,570.0
51,585.0
52,606.0
53,621.0
54,707.0
55,735.0
56,754.0
57,782.0
58,812.0
59,829.0
60,852.0
61,861.0
62,865.0
