x,y
0,1.0
1,3.0
2,3.0
3,4.0
4,5.0
5,7.0
6,7.0
7,10.0
8,13.0
9,16.0
10,18.0
11,18.0
12,24.0
13,28.0
14,28.0
15,30.0
16,33.0
17,40.0
18,45.0
19,47.0
20,50.0
21,58.0
22,67.0
23,72.0
24,75.0
25,77.0
26,81.0
27,84.0
28,84.0
29,85.0
30,85.0
31,89.0
32,89.0
33,91.0
34,93.0
35,93.0
36,93.0
37,102.0
38,106.0
39,108.0
40,110.0
41,110.0
42,117.0
43,130.0
44,138.0
45,150.0
46,150.0
47,160.0
48,178.0
49,178.0
50,200.0
51,212.0
52,226.0
53,243.0
54,266.0
55,313.0
56,345.0
57,385.0
58,432.0
59,455.0
60,509.0
61,558.0
62,631.0
63,683.0
64,732.0
65,802.0
66,844.0
67,879.0
68,926.0
69,1000.0
70,1049.0
71,1114.0
72,1189.0
73,1309.0
74,1375.0
75,1481.0
76,1623.0
77,1910.0
78,2108.0
79,2299.0
80,2532.0
81,2918.0
82,3252.0
83,3699.0
84,4427.0
85,5050.0
86,5992.0
87,6588.0
88,8014.0
89,9125.0
90,10141.0
91,11178.0
92,12075.0
93,12693.0
94,13624.0
95,14423.0
96,14951.0
97,15641.0
98,16169.0
99,17101.0
100,17548.0
101,18205.0
102,18778.0
103,19410.0
104,20198.0
105,20939.0
106,21707.0
107,22460.0
108,23336.0
109,23822.0
110,24671.0
111,25346.0
112,26098.0
113,26891.0
114,27356.0
115,28038.0
116,28343.0
117,28794.0
118,29364.0
119,29812.0
120,30426.0
121,31068.0
122,31616.0
123,31960.0
124,32343.0
125,32876.0
126,33249.0
127,33860.0
128,34366.0
129,34884.0
130,35292.0
