x,y
0,1.0
1,1.0
2,3.0
3,3.0
4,7.0
5,10.0
6,16.0
7,32.0
8,44.0
9,54.0
10,63.0
11,72.0
12,105.0
13,123.0
14,137.0
15,178.0
16,185.0
17,186.0
18,204.0
19,216.0
20,226.0
21,269.0
22,292.0
23,314.0
24,336.0
25,363.0
26,400.0
27,426.0
28,450.0
29,471.0
30,485.0
31,534.0
32,581.0
33,682.0
34,701.0
35,715.0
36,728.0
37,742.0
38,769.0
39,835.0
40,863.0
41,977.0
42,1049.0
43,1089.0
44,1161.0
45,1173.0
46,1199.0
47,1244.0
48,1325.0
49,1360.0
50,1373.0
51,1379.0
52,1381.0
53,1384.0
54,1391.0
55,1396.0
56,1403.0
57,1407.0
58,1408.0
59,1413.0
60,1421.0
61,1429.0
62,1445.0
63,1455.0
64,1455.0
65,1457.0
66,1457.0
67,1465.0
68,1469.0
69,1477.0
70,1480.0
71,1493.0
72,1494.0
73,1495.0
74,1495.0
75,1496.0
76,1502.0
77,1503.0
78,1504.0
79,1509.0
80,1511.0
81,1513.0
82,1515.0
83,1520.0
84,1520.0
85,1521.0
86,1521.0
87,1522.0
