x,y
0,2.0
1,7.0
2,7.0
3,16.0
4,16.0
5,31.0
6,57.0
7,89.0
8,141.0
9,181.0
10,219.0
11,253.0
12,275.0
13,275.0
14,286.0
15,341.0
16,383.0
17,414.0
18,442.0
19,480.0
20,528.0
21,562.0
22,632.0
23,684.0
24,730.0
25,756.0
26,802.0
27,841.0
28,897.0
29,934.0
30,977.0
31,997.0
32,1021.0
33,1059.0
34,1091.0
35,1124.0
36,1160.0
37,1188.0
38,1205.0
39,1212.0
40,1220.0
41,1248.0
42,1268.0
43,1304.0
44,1317.0
45,1330.0
46,1335.0
47,1344.0
48,1353.0
49,1366.0
50,1373.0
51,1388.0
52,1396.0
53,1402.0
54,1408.0
55,1418.0
56,1429.0
57,1434.0
58,1439.0
59,1439.0
60,1439.0
61,1445.0
62,1448.0
63,1449.0
64,1450.0
65,1454.0
66,1457.0
67,1460.0
68,1461.0
69,1463.0
70,1464.0
71,1465.0
72,1465.0
73,1466.0
74,1466.0
75,1467.0
76,1468.0
77,1468.0
78,1468.0
79,1468.0
80,1468.0
81,1469.0
82,1469.0
83,1471.0
84,1473.0
85,1473.0
86,1473.0
87,1473.0
88,1473.0
