x,y
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,1.0
9,1.0
10,2.0
11,3.0
12,3.0
13,3.0
14,3.0
15,5.0
16,5.0
17,5.0
18,7.0
19,7.0
20,7.0
21,7.0
22,8.0
23,12.0
24,12.0
25,21.0
26,21.0
27,25.0
28,60.0
29,60.0
30,80.0
31,80.0
32,116.0
33,135.0
34,164.0
35,237.0
36,286.0
37,286.0
38,328.0
39,328.0
40,390.0
41,436.0
42,480.0
43,528.0
44,582.0
45,601.0
46,601.0
47,671.0
48,722.0
49,756.0
50,835.0
51,873.0
52,928.0
53,928.0
54,997.0
55,1054.0
56,1089.0
57,1170.0
58,1219.0
59,1284.0
60,1284.0
61,1357.0
62,1421.0
63,1455.0
64,1502.0
65,1573.0
66,1594.0
67,1594.0
68,1594.0
69,1594.0
70,1689.0
71,1711.0
72,1731.0
73,1828.0
74,1828.0
75,1916.0
76,1976.0
77,2023.0
