x,y
0,1.0
1,1.0
2,1.0
3,3.0
4,3.0
5,7.0
6,13.0
7,17.0
8,24.0
9,38.0
10,51.0
11,62.0
12,62.0
13,116.0
14,150.0
15,202.0
16,240.0
17,274.0
18,402.0
19,554.0
20,709.0
21,927.0
22,1170.0
23,1187.0
24,1280.0
25,1326.0
26,1353.0
27,1380.0
28,1462.0
29,1505.0
30,1585.0
31,1655.0
32,1686.0
33,1749.0
34,1845.0
35,1934.0
36,2003.0
37,2028.0
38,2173.0
39,2272.0
40,2415.0
41,2506.0
42,2605.0
43,2783.0
44,3034.0
45,3158.0
46,3300.0
47,3465.0
48,3635.0
49,3953.0
50,4220.0
51,4361.0
52,4546.0
53,4793.0
54,4996.0
55,5350.0
56,5647.0
57,5951.0
58,6336.0
59,6783.0
60,7220.0
61,7572.0
62,7808.0
63,8232.0
64,8895.0
65,9420.0
66,10015.0
67,10652.0
68,11350.0
69,12074.0
70,12739.0
71,13524.0
72,14355.0
73,15515.0
74,16433.0
75,17200.0
76,18003.0
77,19137.0
78,20125.0
79,21343.0
80,22583.0
81,23615.0
82,24264.0
83,25937.0
84,27403.0
85,29240.0
86,30967.0
87,32683.0
88,34357.0
