x,y
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,2.0
9,2.0
10,2.0
11,2.0
12,2.0
13,2.0
14,2.0
15,2.0
16,2.0
17,2.0
18,2.0
19,2.0
20,2.0
21,2.0
22,2.0
23,2.0
24,6.0
25,13.0
26,15.0
27,32.0
28,45.0
29,84.0
30,120.0
31,165.0
32,222.0
33,259.0
34,400.0
35,500.0
36,673.0
37,1073.0
38,1695.0
39,2277.0
40,2277.0
41,5232.0
42,6391.0
43,7798.0
44,9942.0
45,11748.0
46,13910.0
47,17963.0
48,20410.0
49,25374.0
50,28768.0
51,35136.0
52,39885.0
53,49515.0
54,57786.0
55,65719.0
56,73235.0
57,80110.0
58,87956.0
59,95923.0
60,104118.0
61,112065.0
62,119199.0
63,126168.0
64,131646.0
65,136675.0
66,141942.0
67,148220.0
68,153222.0
69,158273.0
70,163027.0
71,166831.0
72,170099.0
73,172541.0
74,177644.0
75,184948.0
76,190839.0
77,191726.0
78,198674.0
79,200210.0
80,204178.0
81,208389.0
82,213024.0
83,202990.0
84,205905.0
85,207634.0
86,209465.0
87,210773.0
88,212917.0
89,213435.0
90,215216.0
91,216582.0
92,217466.0
93,218011.0
94,219329.0
95,220325.0
96,221447.0
97,222857.0
98,223578.0
99,224350.0
100,227436.0
101,228030.0
102,228691.0
103,229540.0
104,230183.0
105,230698.0
106,230698.0
107,231606.0
108,232037.0
109,232555.0
110,233037.0
111,234824.0
112,235290.0
113,235772.0
114,235400.0
115,236259.0
116,236259.0
117,237906.0
118,238564.0
119,239228.0
120,239479.0
121,239638.0
