x,y
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,1.0
9,1.0
10,1.0
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
16,1.0
17,1.0
18,1.0
19,1.0
20,1.0
21,1.0
22,1.0
23,1.0
24,1.0
25,1.0
26,1.0
27,1.0
28,1.0
29,1.0
30,1.0
31,1.0
32,1.0
33,1.0
34,1.0
35,1.0
36,1.0
37,1.0
38,1.0
39,1.0
40,1.0
41,1.0
42,1.0
43,1.0
44,2.0
45,2.0
46,6.0
47,10.0
48,18.0
49,28.0
50,44.0
51,51.0
52,60.0
53,73.0
54,77.0
55,82.0
56,97.0
57,102.0
58,102.0
59,106.0
60,106.0
61,113.0
62,117.0
63,122.0
64,143.0
65,146.0
66,151.0
67,159.0
68,166.0
69,176.0
70,178.0
71,185.0
72,189.0
73,190.0
74,190.0
75,198.0
76,210.0
77,217.0
78,233.0
79,238.0
80,238.0
81,244.0
82,254.0
83,271.0
84,304.0
85,310.0
86,330.0
87,368.0
88,420.0
89,460.0
90,523.0
91,588.0
92,619.0
93,649.0
94,663.0
95,690.0
96,705.0
97,718.0
98,751.0
99,771.0
100,797.0
101,824.0
102,835.0
103,847.0
104,863.0
105,869.0
106,889.0
107,915.0
108,925.0
109,935.0
110,960.0
111,981.0
112,992.0
113,1027.0
114,1028.0
115,1055.0
116,1068.0
117,1089.0
118,1141.0
119,1182.0
120,1319.0
121,1469.0
122,1530.0
123,1558.0
124,1620.0
125,1633.0
126,1643.0
