x,y
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,2.0
6,2.0
7,2.0
8,2.0
9,2.0
10,2.0
11,3.0
12,3.0
13,3.0
14,3.0
15,5.0
16,6.0
17,6.0
18,7.0
19,7.0
20,8.0
21,10.0
22,10.0
23,12.0
24,12.0
25,14.0
26,14.0
27,15.0
28,17.0
29,19.0
30,19.0
31,29.0
32,32.0
33,32.0
34,32.0
35,33.0
36,66.0
37,66.0
38,107.0
39,107.0
40,140.0
41,174.0
42,174.0
43,213.0
44,237.0
45,275.0
46,318.0
47,375.0
48,442.0
49,533.0
50,592.0
51,592.0
52,678.0
53,778.0
54,852.0
55,930.0
56,1111.0
57,1164.0
58,1365.0
59,1526.0
60,1661.0
61,1818.0
62,1818.0
63,1964.0
64,2289.0
65,2289.0
66,2591.0
67,2728.0
68,2728.0
69,3138.0
70,3378.0
71,3628.0
72,3820.0
73,3976.0
74,3976.0
75,4346.0
76,4346.0
77,4521.0
78,4800.0
79,5026.0
80,5173.0
