x,y
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,1.0
9,1.0
10,1.0
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
16,1.0
17,1.0
18,1.0
19,1.0
20,1.0
21,1.0
22,1.0
23,1.0
24,1.0
25,1.0
26,2.0
27,7.0
28,7.0
29,12.0
30,14.0
31,15.0
32,21.0
33,35.0
34,94.0
35,101.0
36,161.0
37,203.0
38,248.0
39,355.0
40,500.0
41,599.0
42,814.0
43,961.0
44,1022.0
45,1103.0
46,1190.0
47,1279.0
48,1439.0
49,1639.0
50,1763.0
51,1934.0
52,2046.0
53,2286.0
54,2526.0
55,2840.0
56,3069.0
57,3447.0
58,3700.0
59,4028.0
60,4435.0
61,4947.0
62,5568.0
63,6131.0
64,6443.0
65,6830.0
66,7206.0
67,7693.0
68,8419.0
69,9141.0
70,9685.0
71,10151.0
72,10483.0
73,10948.0
74,11445.0
75,11927.0
76,12540.0
77,13216.0
78,13822.0
79,14385.0
80,14777.0
81,15322.0
82,16004.0
83,16755.0
84,17567.0
85,18177.0
86,18640.0
87,18926.0
88,19621.0
89,20302.0
90,21092.0
91,21520.0
92,22082.0
93,22317.0
94,22721.0
95,23216.0
96,23918.0
97,24623.0
98,25265.0
99,25921.0
100,26322.0
101,26670.0
102,27272.0
103,27909.0
104,28582.0
105,29207.0
106,29677.0
107,30143.0
108,30377.0
109,30799.0
110,31523.0
111,32172.0
112,32809.0
113,33188.0
114,33459.0
115,33843.0
116,34440.0
117,35088.0
118,35727.0
119,36476.0
120,37113.0
121,37542.0
122,37814.0
