x,y
0,1.0
1,1.0
2,8.0
3,8.0
4,18.0
5,27.0
6,42.0
7,56.0
8,90.0
9,114.0
10,214.0
11,268.0
12,337.0
13,374.0
14,491.0
15,652.0
16,652.0
17,1139.0
18,1359.0
19,2200.0
20,2200.0
21,2700.0
22,3028.0
23,4075.0
24,5294.0
25,6575.0
26,7474.0
27,8795.0
28,9877.0
29,10897.0
30,11811.0
31,12928.0
32,14076.0
33,14829.0
34,15922.0
35,16605.0
36,17768.0
37,18827.0
38,19606.0
39,20505.0
40,21100.0
41,21657.0
42,22253.0
43,23280.0
44,24051.0
45,24551.0
46,25107.0
47,25415.0
48,25688.0
49,25936.0
50,26336.0
51,26732.0
52,27078.0
53,27404.0
54,27740.0
55,27944.0
56,28063.0
57,28268.0
58,28496.0
59,28677.0
60,28894.0
61,29061.0
62,29164.0
63,29264.0
64,29407.0
65,29586.0
66,29705.0
67,29817.0
68,29905.0
69,29981.0
70,30009.0
71,30060.0
72,30126.0
73,30207.0
74,30251.0
75,30305.0
76,30344.0
77,30380.0
78,30413.0
79,30463.0
80,30514.0
81,30572.0
82,30587.0
83,30597.0
84,30618.0
85,30658.0
86,30694.0
87,30707.0
88,30725.0
89,30736.0
90,30746.0
91,30761.0
92,30776.0
93,30796.0
94,30828.0
95,30845.0
96,30862.0
97,30871.0
