x,y
0,1.0
1,1.0
2,1.0
3,5.0
4,5.0
5,5.0
6,5.0
7,9.0
8,10.0
9,10.0
10,10.0
11,16.0
12,16.0
13,16.0
14,19.0
15,19.0
16,19.0
17,19.0
18,19.0
19,19.0
20,25.0
21,25.0
22,25.0
23,29.0
24,33.0
25,33.0
26,38.0
27,38.0
28,39.0
29,39.0
30,42.0
31,42.0
32,42.0
33,42.0
34,42.0
35,43.0
36,43.0
37,43.0
38,43.0
39,43.0
40,44.0
41,44.0
42,44.0
43,44.0
44,44.0
45,45.0
46,45.0
47,47.0
48,47.0
49,47.0
50,47.0
51,47.0
52,48.0
53,48.0
54,50.0
55,51.0
56,58.0
57,58.0
58,58.0
59,58.0
60,58.0
61,59.0
62,70.0
63,86.0
64,106.0
65,121.0
66,121.0
67,122.0
68,122.0
69,122.0
70,122.0
71,123.0
