x,y
0,1.0
1,1.0
2,3.0
3,3.0
4,4.0
5,5.0
6,8.0
7,8.0
8,9.0
9,10.0
10,10.0
11,10.0
12,10.0
13,11.0
14,11.0
15,16.0
16,16.0
17,17.0
18,18.0
19,18.0
20,18.0
21,18.0
22,18.0
23,18.0
24,18.0
25,20.0
26,22.0
27,22.0
28,23.0
29,24.0
30,26.0
31,26.0
32,28.0
33,30.0
34,31.0
35,32.0
36,32.0
37,34.0
38,39.0
39,40.0
40,41.0
41,42.0
42,42.0
43,44.0
44,45.0
45,45.0
46,45.0
47,45.0
48,47.0
49,48.0
50,49.0
51,50.0
52,53.0
53,59.0
54,67.0
55,77.0
56,100.0
57,108.0
58,135.0
59,153.0
60,169.0
61,195.0
62,215.0
63,235.0
64,252.0
65,267.0
66,283.0
67,298.0
68,306.0
69,322.0
70,329.0
71,339.0
72,348.0
73,355.0
74,363.0
75,373.0
76,376.0
77,379.0
78,380.0
79,382.0
80,385.0
81,388.0
82,393.0
83,393.0
84,395.0
85,395.0
86,395.0
87,398.0
88,420.0
89,422.0
90,425.0
91,426.0
92,427.0
93,428.0
94,429.0
95,429.0
96,429.0
97,429.0
98,429.0
99,429.0
100,429.0
101,432.0
102,436.0
103,438.0
104,438.0
105,439.0
106,440.0
107,440.0
108,440.0
109,440.0
110,440.0
111,440.0
112,440.0
113,440.0
114,440.0
115,440.0
116,440.0
117,440.0
118,440.0
119,440.0
120,440.0
121,441.0
122,441.0
123,441.0
124,441.0
125,441.0
126,441.0
127,441.0
128,442.0
129,442.0
130,442.0
131,443.0
