x,y
0,1.0
1,1.0
2,3.0
3,6.0
4,6.0
5,6.0
6,12.0
7,12.0
8,12.0
9,12.0
10,13.0
11,13.0
12,14.0
13,14.0
14,19.0
15,19.0
16,20.0
17,20.0
18,20.0
19,20.0
20,22.0
21,24.0
22,24.0
23,25.0
24,25.0
25,32.0
26,32.0
27,32.0
28,49.0
29,53.0
30,88.0
31,94.0
32,147.0
33,147.0
34,170.0
35,254.0
36,254.0
37,284.0
38,284.0
39,299.0
40,299.0
41,299.0
42,299.0
43,299.0
44,480.0
45,480.0
46,480.0
47,480.0
48,480.0
49,480.0
50,480.0
51,480.0
52,480.0
53,509.0
54,509.0
55,509.0
56,509.0
57,509.0
58,509.0
59,509.0
60,509.0
61,509.0
62,509.0
63,509.0
64,509.0
65,509.0
66,509.0
67,509.0
68,509.0
69,509.0
70,509.0
71,509.0
72,509.0
73,509.0
74,509.0
75,509.0
76,509.0
77,509.0
