x,y
0,2.0
1,3.0
2,5.0
3,7.0
4,8.0
5,8.0
6,14.0
7,14.0
8,14.0
9,19.0
10,19.0
11,19.0
12,19.0
13,25.0
14,25.0
15,25.0
16,25.0
17,32.0
18,32.0
19,32.0
20,33.0
21,33.0
22,33.0
23,33.0
24,33.0
25,34.0
26,35.0
27,35.0
28,35.0
29,35.0
30,35.0
31,35.0
32,35.0
33,35.0
34,37.0
35,40.0
36,40.0
37,41.0
38,42.0
39,42.0
40,43.0
41,43.0
42,43.0
43,47.0
44,48.0
45,50.0
46,50.0
47,50.0
48,53.0
49,59.0
50,70.0
51,75.0
52,82.0
53,114.0
54,147.0
55,177.0
56,212.0
57,272.0
58,322.0
59,411.0
60,599.0
61,721.0
62,827.0
63,934.0
64,1045.0
65,1136.0
66,1245.0
67,1388.0
68,1524.0
69,1651.0
70,1771.0
71,1875.0
72,1978.0
73,2067.0
74,2169.0
75,2220.0
76,2258.0
77,2369.0
78,2423.0
79,2473.0
80,2518.0
81,2551.0
82,2579.0
83,2613.0
84,2643.0
85,2672.0
86,2700.0
87,2733.0
88,2765.0
89,2792.0
90,2811.0
91,2826.0
92,2839.0
93,2907.0
94,2907.0
95,2922.0
96,2931.0
97,2938.0
98,2947.0
99,2954.0
100,2960.0
101,2966.0
102,2969.0
103,2987.0
104,2988.0
105,2989.0
106,2992.0
107,3000.0
108,3004.0
109,3009.0
110,3015.0
111,3017.0
112,3017.0
113,3018.0
114,3025.0
115,3025.0
116,3028.0
117,3031.0
118,3033.0
119,3034.0
120,3037.0
121,3037.0
122,3040.0
123,3040.0
124,3042.0
125,3045.0
126,3054.0
127,3065.0
128,3076.0
129,3077.0
130,3081.0
131,3082.0
