x,y
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,1.0
9,1.0
10,1.0
11,1.0
12,1.0
13,1.0
14,9.0
15,16.0
16,16.0
17,18.0
18,20.0
19,23.0
20,23.0
21,25.0
22,25.0
23,25.0
24,30.0
25,34.0
26,36.0
27,39.0
28,40.0
29,41.0
30,44.0
31,58.0
32,65.0
33,70.0
34,73.0
35,76.0
36,76.0
37,76.0
38,77.0
39,77.0
40,81.0
41,81.0
42,83.0
43,84.0
44,84.0
45,84.0
46,86.0
47,88.0
48,88.0
49,90.0
50,96.0
51,98.0
52,98.0
53,99.0
54,109.0
55,116.0
56,123.0
57,123.0
58,124.0
59,126.0
60,128.0
61,128.0
62,135.0
63,145.0
64,153.0
65,174.0
66,181.0
67,199.0
68,219.0
69,238.0
70,263.0
71,298.0
72,301.0
73,330.0
74,338.0
75,340.0
76,354.0
77,363.0
78,373.0
79,381.0
80,386.0
81,391.0
82,395.0
83,422.0
84,428.0
85,433.0
86,442.0
87,443.0
