x,y
0,2.0
1,2.0
2,4.0
3,5.0
4,7.0
5,9.0
6,9.0
7,49.0
8,50.0
9,51.0
10,57.0
11,60.0
12,65.0
13,66.0
14,74.0
15,78.0
16,82.0
17,87.0
18,90.0
19,94.0
20,98.0
21,103.0
22,104.0
23,105.0
24,107.0
25,107.0
26,109.0
27,109.0
28,112.0
29,113.0
30,113.0
31,113.0
32,114.0
33,114.0
34,114.0
35,114.0
36,114.0
37,114.0
38,115.0
39,115.0
40,115.0
41,115.0
42,115.0
43,115.0
44,116.0
45,116.0
46,116.0
47,116.0
48,116.0
49,116.0
50,116.0
51,116.0
52,116.0
53,116.0
54,116.0
55,116.0
56,116.0
57,116.0
58,116.0
59,116.0
60,116.0
61,116.0
62,116.0
63,116.0
64,116.0
65,116.0
66,116.0
67,116.0
68,116.0
69,116.0
70,116.0
71,116.0
72,116.0
73,116.0
74,116.0
75,116.0
76,116.0
77,117.0
78,117.0
79,117.0
