x,y
0,1.0
1,1.0
2,1.0
3,1.0
4,2.0
5,2.0
6,5.0
7,7.0
8,7.0
9,16.0
10,18.0
11,18.0
12,20.0
13,24.0
14,29.0
15,39.0
16,54.0
17,60.0
18,75.0
19,89.0
20,114.0
21,173.0
22,197.0
23,227.0
24,278.0
25,312.0
26,312.0
27,394.0
28,423.0
29,455.0
30,495.0
31,553.0
32,574.0
33,596.0
34,623.0
35,628.0
36,643.0
37,671.0
38,685.0
39,707.0
40,726.0
41,747.0
42,780.0
43,822.0
44,864.0
45,864.0
46,879.0
47,884.0
48,884.0
49,909.0
50,918.0
51,922.0
52,939.0
53,949.0
54,967.0
55,975.0
56,980.0
57,994.0
58,998.0
59,1009.0
60,1013.0
61,1018.0
62,1022.0
63,1025.0
64,1026.0
65,1030.0
66,1032.0
67,1032.0
68,1032.0
69,1032.0
70,1032.0
71,1032.0
72,1035.0
73,1037.0
74,1037.0
75,1043.0
76,1044.0
77,1045.0
78,1046.0
79,1048.0
80,1048.0
81,1051.0
82,1051.0
83,1051.0
84,1051.0
85,1068.0
86,1071.0
87,1076.0
88,1077.0
89,1084.0
