x,y
0,1.0
1,1.0
2,5.0
3,5.0
4,6.0
5,18.0
6,47.0
7,98.0
8,192.0
9,359.0
10,670.0
11,1236.0
12,1529.0
13,1872.0
14,2433.0
15,3629.0
16,5698.0
17,7402.0
18,9217.0
19,10827.0
20,13531.0
21,15679.0
22,18135.0
23,20921.0
24,23934.0
25,27069.0
26,30217.0
27,34109.0
28,38226.0
29,42282.0
30,47029.0
31,52167.0
32,56956.0
33,61049.0
34,65111.0
35,69392.0
36,74193.0
37,78546.0
38,82329.0
39,86306.0
40,90980.0
41,95591.0
42,98674.0
43,101790.0
44,104912.0
45,107773.0
46,110130.0
47,112261.0
48,114653.0
49,117589.0
50,120204.0
51,122392.0
52,124375.0
53,126045.0
54,127659.0
55,129491.0
56,131744.0
57,133721.0
58,135569.0
59,137115.0
60,138657.0
61,139771.0
62,141475.0
63,143114.0
64,144749.0
65,146457.0
66,148067.0
67,149435.0
68,150593.0
69,151615.0
70,152587.0
71,153548.0
72,154500.0
73,155686.0
74,156827.0
75,157814.0
76,158762.0
77,159797.0
78,160979.0
79,162120.0
80,163103.0
81,163942.0
82,164769.0
