x,y
0,1.0
1,1.0
2,2.0
3,2.0
4,5.0
5,5.0
6,5.0
7,5.0
8,5.0
9,7.0
10,8.0
11,8.0
12,11.0
13,11.0
14,11.0
15,11.0
16,11.0
17,11.0
18,11.0
19,11.0
20,12.0
21,12.0
22,13.0
23,13.0
24,13.0
25,13.0
26,13.0
27,13.0
28,13.0
29,13.0
30,15.0
31,15.0
32,15.0
33,51.0
34,51.0
35,57.0
36,58.0
37,60.0
38,68.0
39,74.0
40,98.0
41,118.0
42,149.0
43,219.0
44,267.0
45,403.0
46,519.0
47,588.0
48,962.0
49,1285.0
50,1667.0
51,2181.0
52,2729.0
53,3536.0
54,4661.0
55,6437.0
56,7781.0
57,13748.0
58,19274.0
59,25600.0
60,33280.0
61,43862.0
62,53925.0
63,65844.0
64,83836.0
65,101962.0
66,121786.0
67,140910.0
68,162147.0
69,188172.0
70,213602.0
71,244008.0
72,275798.0
73,309027.0
74,336802.0
75,366317.0
76,397121.0
77,428654.0
78,463327.0
79,496846.0
80,526776.0
81,555313.0
82,580624.0
83,607670.0
84,636674.0
85,667981.0
86,700062.0
87,732590.0
88,758809.0
89,784708.0
90,811865.0
91,840351.0
92,869170.0
93,905358.0
94,938154.0
95,965785.0
96,988197.0
97,1012582.0
98,1039909.0
99,1069424.0
100,1103461.0
101,1132539.0
102,1158040.0
103,1180375.0
104,1204351.0
105,1229331.0
106,1257023.0
107,1283929.0
108,1309550.0
109,1329260.0
110,1347881.0
111,1369376.0
112,1390406.0
113,1417774.0
114,1442824.0
115,1467820.0
116,1486757.0
117,1508308.0
118,1528568.0
119,1551853.0
120,1577147.0
121,1600937.0
122,1622612.0
123,1643246.0
124,1662302.0
125,1680913.0
126,1699176.0
127,1721753.0
128,1746019.0
129,1770165.0
130,1790172.0
131,1811020.0
