x,y
0,1.0
1,1.0
2,9.0
3,9.0
4,14.0
5,14.0
6,23.0
7,30.0
8,33.0
9,33.0
10,44.0
11,44.0
12,45.0
13,48.0
14,48.0
15,52.0
16,52.0
17,52.0
18,53.0
19,53.0
20,53.0
21,53.0
22,54.0
23,54.0
24,55.0
25,55.0
26,55.0
27,56.0
28,55.0
29,55.0
30,56.0
31,61.0
32,63.0
33,74.0
34,75.0
35,75.0
36,79.0
37,79.0
38,79.0
39,81.0
40,83.0
41,85.0
42,88.0
43,89.0
44,97.0
45,98.0
46,100.0
47,101.0
48,101.0
49,116.0
50,121.0
51,121.0
52,129.0
53,139.0
54,160.0
55,203.0
56,227.0
57,227.0
58,248.0
59,260.0
60,264.0
61,160.0
62,175.0
63,198.0
64,198.0
65,222.0
66,253.0
67,281.0
68,317.0
69,329.0
70,413.0
71,417.0
72,457.0
