x,y
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,1.0
9,1.0
10,3.0
11,3.0
12,3.0
13,7.0
14,14.0
15,14.0
16,16.0
17,29.0
18,47.0
19,73.0
20,73.0
21,97.0
22,145.0
23,196.0
24,310.0
25,356.0
26,475.0
27,548.0
28,645.0
29,794.0
30,897.0
31,1072.0
32,1225.0
33,1308.0
34,1319.0
35,1462.0
36,1668.0
37,1892.0
38,2203.0
39,2511.0
40,2777.0
41,3102.0
42,3372.0
43,3764.0
44,4161.0
45,4662.0
46,5106.0
47,5449.0
48,5710.0
49,6125.0
50,6592.0
51,7170.0
52,7647.0
53,8125.0
54,8617.0
55,9009.0
56,9410.0
57,9866.0
58,10406.0
59,10861.0
60,11411.0
61,11913.0
62,12331.0
63,12697.0
64,13184.0
65,13691.0
66,14195.0
67,14710.0
68,15232.0
69,15648.0
70,16023.0
71,16425.0
72,16847.0
73,17330.0
74,17858.0
75,18291.0
76,18616.0
77,18876.0
78,19230.0
79,19706.0
80,20148.0
81,20580.0
82,20986.0
83,21245.0
84,21584.0
85,21905.0
86,22382.0
87,22811.0
88,23204.0
89,23672.0
90,24562.0
