x,y
0,4.0
1,4.0
2,4.0
3,4.0
4,5.0
5,5.0
6,5.0
7,5.0
8,5.0
9,5.0
10,7.0
11,7.0
12,8.0
13,8.0
14,8.0
15,8.0
16,8.0
17,8.0
18,9.0
19,9.0
20,9.0
21,9.0
22,9.0
23,9.0
24,13.0
25,13.0
26,13.0
27,13.0
28,13.0
29,13.0
30,19.0
31,21.0
32,21.0
33,21.0
34,27.0
35,27.0
36,29.0
37,29.0
38,45.0
39,45.0
40,45.0
41,74.0
42,74.0
43,85.0
44,85.0
45,85.0
46,98.0
47,98.0
48,98.0
49,113.0
50,140.0
51,140.0
52,153.0
53,153.0
54,198.0
55,248.0
56,333.0
57,333.0
58,405.0
59,468.0
60,570.0
61,611.0
62,664.0
63,814.0
64,1024.0
65,1264.0
66,1505.0
67,1799.0
68,2076.0
69,2359.0
70,2659.0
71,2990.0
72,3360.0
73,3736.0
74,4123.0
75,4521.0
76,4933.0
77,5365.0
78,5825.0
79,6302.0
80,6302.0
81,6781.0
82,7265.0
83,7755.0
84,8238.0
85,8756.0
86,9281.0
87,9813.0
88,10349.0
89,10839.0
90,11380.0
91,11929.0
92,12481.0
93,13038.0
94,13599.0
95,14163.0
96,14730.0
97,15192.0
98,15738.0
99,16240.0
100,16793.0
101,17417.0
102,18198.0
103,18878.0
104,19661.0
105,20386.0
106,21084.0
107,21831.0
108,22627.0
109,23358.0
110,24190.0
111,25063.0
112,26004.0
113,26898.0
114,27892.0
115,28704.0
116,29485.0
117,30307.0
118,31086.0
119,31969.0
120,32532.0
121,33170.0
122,33896.0
123,34557.0
124,35192.0
