x,y
0,2.0
1,2.0
2,2.0
3,2.0
4,2.0
5,2.0
6,2.0
7,3.0
8,3.0
9,3.0
10,8.0
11,8.0
12,9.0
13,9.0
14,9.0
15,9.0
16,9.0
17,9.0
18,9.0
19,9.0
20,9.0
21,9.0
22,9.0
23,9.0
24,13.0
25,13.0
26,13.0
27,15.0
28,20.0
29,23.0
30,36.0
31,40.0
32,51.0
33,86.0
34,116.0
35,164.0
36,207.0
37,274.0
38,322.0
39,384.0
40,459.0
41,459.0
42,802.0
43,1144.0
44,1145.0
45,1551.0
46,1960.0
47,2642.0
48,2716.0
49,4014.0
50,5067.0
51,5745.0
52,6726.0
53,8164.0
54,9640.0
55,11812.0
56,14745.0
57,17312.0
58,19780.0
59,22453.0
60,25481.0
61,29865.0
62,34173.0
63,38689.0
64,42477.0
65,48436.0
66,52279.0
67,55949.0
68,61474.0
69,65872.0
70,74605.0
71,79874.0
72,85206.0
73,89570.0
74,94845.0
75,99483.0
76,104145.0
77,109769.0
78,115314.0
79,121172.0
80,125856.0
81,130172.0
82,134638.0
83,139246.0
84,144640.0
85,149569.0
86,154037.0
87,158348.0
88,162350.0
89,166441.0
90,172481.0
91,178685.0
92,183500.0
93,187842.0
94,191832.0
95,196243.0
96,202359.0
97,207977.0
98,212629.0
99,216525.0
100,220449.0
101,224332.0
102,227741.0
103,230985.0
104,234440.0
105,238004.0
106,241461.0
107,244995.0
108,247709.0
109,250138.0
110,249619.0
111,252246.0
112,255544.0
113,258504.0
114,260916.0
115,262547.0
116,266599.0
117,268619.0
118,270508.0
119,272607.0
120,274219.0
121,276156.0
122,277736.0
