x,y
0,4.0
1,6.0
2,8.0
3,29.0
4,50.0
5,79.0
6,94.0
7,110.0
8,135.0
9,158.0
10,162.0
11,189.0
12,217.0
13,238.0
14,274.0
15,303.0
16,309.0
17,320.0
18,338.0
19,350.0
20,369.0
21,386.0
22,400.0
23,406.0
24,415.0
25,424.0
26,456.0
27,473.0
28,494.0
29,501.0
30,480.0
31,483.0
32,492.0
33,493.0
34,502.0
35,508.0
36,517.0
37,528.0
38,535.0
39,543.0
40,549.0
41,557.0
42,563.0
43,596.0
44,606.0
45,620.0
46,625.0
47,630.0
48,643.0
49,648.0
50,652.0
51,655.0
52,657.0
53,670.0
54,673.0
55,684.0
56,694.0
57,702.0
58,707.0
59,711.0
60,717.0
61,719.0
62,724.0
63,732.0
64,733.0
65,734.0
66,737.0
67,738.0
68,746.0
69,749.0
70,753.0
71,764.0
72,769.0
73,787.0
74,789.0
75,803.0
76,811.0
77,816.0
78,821.0
79,823.0
80,825.0
