x,y
0,1.0
1,6.0
2,10.0
3,15.0
4,23.0
5,33.0
6,43.0
7,43.0
8,46.0
9,50.0
10,60.0
11,75.0
12,88.0
13,104.0
14,144.0
15,149.0
16,172.0
17,181.0
18,205.0
19,227.0
20,266.0
21,342.0
22,457.0
23,520.0
24,545.0
25,582.0
26,624.0
27,767.0
28,865.0
29,998.0
30,1165.0
31,1302.0
32,1349.0
33,1405.0
34,1490.0
35,1565.0
36,1627.0
37,1678.0
38,1716.0
39,1758.0
40,1804.0
41,1862.0
42,1869.0
43,1904.0
44,1939.0
45,2002.0
46,2039.0
47,2086.0
48,2118.0
49,2149.0
50,2189.0
51,2207.0
52,2233.0
53,2298.0
54,2325.0
55,2349.0
56,2418.0
57,2486.0
58,2519.0
59,2612.0
60,2645.0
61,2686.0
62,2738.0
63,2753.0
64,2791.0
65,2855.0
66,2939.0
67,2964.0
68,3028.0
69,3115.0
70,3164.0
71,3189.0
72,3290.0
73,3369.0
74,3444.0
75,3468.0
76,3546.0
77,3623.0
78,3702.0
