x,y
0,2.0
1,10.0
2,17.0
3,33.0
4,36.0
5,42.0
6,42.0
7,70.0
8,70.0
9,77.0
10,84.0
11,91.0
12,107.0
13,107.0
14,119.0
15,119.0
16,135.0
17,135.0
18,143.0
19,146.0
20,153.0
21,155.0
22,159.0
23,165.0
24,165.0
25,167.0
26,171.0
27,171.0
28,175.0
29,181.0
30,189.0
31,189.0
32,197.0
33,204.0
34,204.0
35,227.0
36,256.0
37,256.0
38,285.0
39,288.0
40,311.0
41,318.0
42,323.0
43,325.0
44,329.0
45,329.0
46,331.0
47,333.0
48,335.0
49,345.0
50,357.0
51,357.0
52,361.0
53,379.0
54,381.0
55,388.0
56,402.0
57,414.0
58,422.0
59,423.0
60,423.0
61,455.0
62,459.0
63,504.0
64,541.0
65,618.0
66,749.0
67,824.0
68,882.0
69,944.0
70,1010.0
71,1121.0
72,1177.0
73,1211.0
74,1245.0
75,1325.0
76,1370.0
77,1459.0
78,1510.0
79,1662.0
