x,y
0,4.0
1,7.0
2,16.0
3,16.0
4,19.0
5,26.0
6,30.0
7,30.0
8,31.0
9,35.0
10,38.0
11,38.0
12,39.0
13,41.0
14,44.0
15,47.0
16,48.0
17,52.0
18,59.0
19,59.0
20,59.0
21,84.0
22,91.0
23,98.0
24,109.0
25,116.0
26,119.0
27,134.0
28,161.0
29,194.0
30,217.0
31,237.0
32,254.0
33,261.0
34,263.0
35,263.0
36,267.0
37,268.0
38,271.0
39,273.0
40,284.0
41,291.0
42,294.0
43,307.0
44,313.0
45,319.0
46,329.0
47,329.0
48,335.0
49,336.0
50,340.0
51,342.0
52,342.0
53,342.0
54,343.0
55,344.0
56,344.0
57,353.0
58,353.0
59,353.0
60,362.0
61,371.0
62,374.0
63,375.0
64,375.0
65,375.0
66,375.0
67,375.0
68,375.0
69,375.0
70,375.0
71,375.0
72,376.0
73,381.0
74,388.0
75,391.0
76,398.0
77,423.0
78,423.0
79,423.0
80,423.0
81,423.0
82,429.0
83,434.0
84,446.0
85,446.0
86,447.0
87,448.0
88,449.0
