x,y
0,2.0
1,2.0
2,2.0
3,2.0
4,3.0
5,3.0
6,3.0
7,12.0
8,16.0
9,22.0
10,28.0
11,29.0
12,35.0
13,35.0
14,36.0
15,39.0
16,39.0
17,39.0
18,39.0
19,39.0
20,39.0
21,39.0
22,39.0
23,40.0
24,40.0
25,43.0
26,45.0
27,45.0
28,48.0
29,48.0
30,52.0
31,57.0
32,61.0
33,65.0
34,70.0
35,74.0
36,76.0
37,84.0
38,84.0
39,88.0
40,88.0
41,95.0
42,97.0
43,106.0
44,109.0
45,119.0
46,124.0
47,137.0
48,138.0
49,146.0
50,153.0
51,167.0
52,252.0
53,267.0
54,267.0
55,441.0
56,446.0
57,654.0
58,654.0
59,679.0
60,753.0
61,761.0
62,772.0
63,832.0
64,866.0
65,920.0
66,920.0
67,920.0
68,920.0
69,920.0
70,1057.0
71,1057.0
72,1057.0
73,1057.0
74,1057.0
75,1089.0
