x,y
0,1.0
1,3.0
2,3.0
3,3.0
4,3.0
5,3.0
6,3.0
7,5.0
8,7.0
9,7.0
10,7.0
11,8.0
12,8.0
13,9.0
14,9.0
15,9.0
16,9.0
17,10.0
18,11.0
19,11.0
20,11.0
21,13.0
22,14.0
23,14.0
24,17.0
25,17.0
26,23.0
27,23.0
28,24.0
29,25.0
30,25.0
31,25.0
32,28.0
33,28.0
34,28.0
35,29.0
36,31.0
37,31.0
38,32.0
39,32.0
40,32.0
41,40.0
42,40.0
43,34.0
44,34.0
45,34.0
46,34.0
47,34.0
48,34.0
49,34.0
50,35.0
51,36.0
52,36.0
53,36.0
54,37.0
55,37.0
56,42.0
57,42.0
58,44.0
59,46.0
60,46.0
61,48.0
62,51.0
63,51.0
64,56.0
65,56.0
66,56.0
67,56.0
68,132.0
69,149.0
70,149.0
71,174.0
72,178.0
73,203.0
