Ethiopia 	 r2: 0.7179413538422809 	 msle: 0.00715238365279109 
Antigua and Barbuda 	 r2: 0.0 	 msle: 0.06580587482248287 
Netherlands 	 r2: -2092.5731439531814 	 msle: 0.09857011264966457 
Georgia 	 r2: -2362.7312469322274 	 msle: 0.07490330449249823 
Iraq 	 r2: -1.4693429856543183 	 msle: 0.11611664923148823 
Bahamas 	 r2: -5331.154294763266 	 msle: 0.08892957510462736 
Western Sahara 	 r2: 0.0 	 msle: 0.0019742139944421313 
Barbados 	 r2: 0.0 	 msle: 0.05210241642597505 
Philippines 	 r2: -0.13269938056134745 	 msle: 0.003027426424641113 
New Zealand 	 r2: 0.0 	 msle: 0.1243124088680592 
Albania 	 r2: -37.694701122349514 	 msle: 0.023433431178337405 
Lebanon 	 r2: -15.934997032826633 	 msle: 0.011649252190512582 
Singapore 	 r2: -253.83453126027945 	 msle: 0.08285910266376605 
Peru 	 r2: -12.937679908872317 	 msle: 0.02834071032478024 
India 	 r2: -0.6660986750151614 	 msle: 0.009546263954443029 
Eritrea 	 r2: 0.0 	 msle: 0.054996508223508815 
Chad 	 r2: -1055.8977578441575 	 msle: 0.1422099646862112 
Denmark 	 r2: -2499.070629948516 	 msle: 0.08725202557351018 
Belarus 	 r2: -57.59976499088051 	 msle: 0.059983802557582386 
Zimbabwe 	 r2: 0.1710021605704921 	 msle: 0.01351880547857555 
Italy 	 r2: -25080.34848407046 	 msle: 0.11623763988040943 
Saint Lucia 	 r2: -99.80976250150994 	 msle: 0.04283170906510625 
Brunei 	 r2: 0.0 	 msle: 0.034502635236411214 
Liechtenstein 	 r2: 0.0 	 msle: 0.07347589247454973 
Romania 	 r2: -295.1970871778917 	 msle: 0.0769881556072328 
Chile 	 r2: -1.1083385905657157 	 msle: 0.011183158198460849 
Lithuania 	 r2: -1689.5531279669297 	 msle: 0.08470163216435223 
Slovakia 	 r2: -66144.28438399379 	 msle: 0.11287228029345282 
Slovenia 	 r2: -15502.538008731677 	 msle: 0.08195418968412112 
Indonesia 	 r2: -8.452963553096053 	 msle: 0.02020597359899615 
Norway 	 r2: -6955.116000040958 	 msle: 0.08662439938545194 
Mexico 	 r2: -3.49895007600459 	 msle: 0.017970792685819994 
Morocco 	 r2: -407.5753355868325 	 msle: 0.09653486293655608 
Botswana 	 r2: -7.111677783299752 	 msle: 0.0021816332130938703 
Belize 	 r2: -107.41471491764501 	 msle: 0.05456904819766902 
Japan 	 r2: -9906.446699004868 	 msle: 0.14367635625154973 
Vietnam 	 r2: -5935.4049557313465 	 msle: 0.0949238005224324 
Malta 	 r2: -2539.7302549470946 	 msle: 0.062453507178583854 
Uruguay 	 r2: -507.24098155936827 	 msle: 0.03598099452658846 
Ireland 	 r2: -54025.93889997379 	 msle: 0.1302149289471853 
Uzbekistan 	 r2: -5.516469225451533 	 msle: 0.018302749460936855 
Finland 	 r2: -4937.142981618415 	 msle: 0.10746391567243717 
Taiwan* 	 r2: 0.0 	 msle: 0.12919135012985003 
Croatia 	 r2: -4376705.056491569 	 msle: 0.12240879600384899 
Malawi 	 r2: -6.68098801962937 	 msle: 0.02799231503254532 
Fiji 	 r2: 0.0 	 msle: 0.05683474292447599 
Jordan 	 r2: -25.386277113287644 	 msle: 0.024882571038310295 
Egypt 	 r2: 0.9439957805181767 	 msle: 0.00034394549279546797 
Bosnia and Herzegovina 	 r2: -277.6346858675223 	 msle: 0.07672722434698216 
Niger 	 r2: -4023.1343892881696 	 msle: 0.08222567868157762 
Dominican Republic 	 r2: -23.801372311915507 	 msle: 0.03558930396140948 
Qatar 	 r2: -15.21301164935171 	 msle: 0.032077428773136865 
Azerbaijan 	 r2: 0.7617144738165786 	 msle: 0.00195321215050476 
United Kingdom 	 r2: -1116.3810551609981 	 msle: 0.09852683726037116 
Germany 	 r2: -10118.023265182459 	 msle: 0.12499057269208258 
Bhutan 	 r2: 0.3066040595119699 	 msle: 0.0076686022549339785 
Sri Lanka 	 r2: -18.077348518661957 	 msle: 0.01432031061608059 
MS Zaandam 	 r2: 0.0 	 msle: 0.00695453329764012 
Togo 	 r2: -40.78548130802334 	 msle: 0.05263884420116423 
Gambia 	 r2: -111.53947312178401 	 msle: 0.0784339501160587 
Pakistan 	 r2: 0.9144882138207528 	 msle: 0.0008601712687877168 
Cote d'Ivoire 	 r2: 0.2075651440702483 	 msle: 0.005852456632037727 
Mauritania 	 r2: -1.6548520363781707 	 msle: 0.042732985055288886 
Bulgaria 	 r2: -69.52860045375617 	 msle: 0.06575560471490484 
Canada 	 r2: -688.0787765005285 	 msle: 0.08696701370853344 
Guyana 	 r2: -7119.148175593032 	 msle: 0.05617181790117393 
United Arab Emirates 	 r2: -62.933885493997344 	 msle: 0.05009616016344854 
Yemen 	 r2: -7.89973203239164 	 msle: 0.03238496140012256 
Burkina Faso 	 r2: -6287.583246704637 	 msle: 0.05482033399193629 
Bangladesh 	 r2: -0.6203145173241775 	 msle: 0.010118488447867878 
Mali 	 r2: -8.198424622335805 	 msle: 0.017183530593841728 
Suriname 	 r2: -9.792118338246063 	 msle: 2.7210770932876964 
Serbia 	 r2: -937.2100044136844 	 msle: 0.1088579400776317 
France 	 r2: -5020.767883952006 	 msle: 0.12967800381823838 
Dominica 	 r2: 0.0 	 msle: 0.0006340038354493913 
South Africa 	 r2: 0.9875694399249245 	 msle: 0.0002270583221041167 
Kuwait 	 r2: -52.768242926419965 	 msle: 0.06559782717126328 
Cabo Verde 	 r2: -6.192893325332248 	 msle: 0.028281617074299603 
Thailand 	 r2: -12840.671667138009 	 msle: 0.13778365079348687 
Mauritius 	 r2: -8882.9273125102 	 msle: 0.05945393283106089 
Portugal 	 r2: -194.11829562148625 	 msle: 0.06121898210909523 
Holy See 	 r2: 0.0 	 msle: 0.07594332175635585 
Spain 	 r2: -28921.508576797416 	 msle: 0.12641751491488704 
Luxembourg 	 r2: -44678.916962374016 	 msle: 0.09840912385257072 
Bahrain 	 r2: -0.10598042566513177 	 msle: 0.005270404633766999 
Mongolia 	 r2: -241.4200121097285 	 msle: 0.06859940925729958 
Paraguay 	 r2: -44.635593677366494 	 msle: 0.048077691997805774 
Eswatini 	 r2: -30.636840238690997 	 msle: 0.07162535754018974 
Nicaragua 	 r2: 0.0 	 msle: 0.18468686010216923 
Haiti 	 r2: -2.769351228939466 	 msle: 0.054189107255964916 
Costa Rica 	 r2: 0.545516275686186 	 msle: 0.002004470955294439 
San Marino 	 r2: -2791.7139843362374 	 msle: 0.0891014508250318 
Somalia 	 r2: -36.2713466421073 	 msle: 0.04948004338002833 
Maldives 	 r2: -565.1398737296654 	 msle: 0.07684830366160869 
Guinea-Bissau 	 r2: -1186.54764429917 	 msle: 0.13939303681386267 
Austria 	 r2: -7106.83766023874 	 msle: 0.09241466033456847 
Uganda 	 r2: -1.9633687788515242 	 msle: 0.03290609405308006 
Sudan 	 r2: -38.697432924967906 	 msle: 0.07784573901735428 
Latvia 	 r2: -3728.4021647911277 	 msle: 0.07571638944446624 
Congo (Brazzaville) 	 r2: -16.17760620893901 	 msle: 0.03688513170851325 
Israel 	 r2: -745.655160705567 	 msle: 0.10620329350901013 
Mozambique 	 r2: -0.10929646509325175 	 msle: 0.018398798870225292 
Brazil 	 r2: -1.1441806443177471 	 msle: 0.011412825425053149 
Benin 	 r2: -34.16454621267954 	 msle: 0.07189673964321794 
Greece 	 r2: -735.4798578550129 	 msle: 0.08306321447449871 
Andorra 	 r2: -6036.56993755906 	 msle: 0.05014604325819862 
Central African Republic 	 r2: 0.36836870338793726 	 msle: 0.01700975628045512 
Moldova 	 r2: -11.299741314426702 	 msle: 0.02280511368063168 
Sweden 	 r2: -10.371392051398278 	 msle: 0.02452385109150596 
Burundi 	 r2: 0.36547222892350795 	 msle: 0.011929003876226403 
Seychelles 	 r2: 0.0 	 msle: 0.02063093583293801 
Belgium 	 r2: -9432.742588440453 	 msle: 0.12448838896268236 
Nepal 	 r2: 0.9368610688145383 	 msle: 0.002366486016202811 
Czechia 	 r2: -740.1353864370851 	 msle: 0.06737836965324953 
Monaco 	 r2: 0.0 	 msle: 0.09645695173332654 
Turkey 	 r2: -1024.172287577077 	 msle: 0.08983185068009673 
Timor-Leste 	 r2: 0.0 	 msle: 0.12545162845295305 
Cameroon 	 r2: 0.24162353796310143 	 msle: 0.004324168937699016 
Australia 	 r2: -62531.746416327354 	 msle: 0.1319527649289124 
South Sudan 	 r2: -8.751758253030328 	 msle: 0.2335565939293797 
Nigeria 	 r2: -13.94039832434655 	 msle: 0.03585404348872925 
Oman 	 r2: 0.882076450009099 	 msle: 0.0013861647456601522 
Senegal 	 r2: -22.620779307837136 	 msle: 0.042195626800993265 
West Bank and Gaza 	 r2: -222.38237607528023 	 msle: 0.04284780362152822 
Malaysia 	 r2: -194.45104142628125 	 msle: 0.06497438021395513 
Comoros 	 r2: -238.4798054603358 	 msle: 0.1455230412263064 
Saint Kitts and Nevis 	 r2: 0.0 	 msle: 0.03468158958093291 
Switzerland 	 r2: -119949.83718159811 	 msle: 0.10790864589089146 
Panama 	 r2: -0.5288585062810838 	 msle: 0.004953383568294297 
Equatorial Guinea 	 r2: 0.0 	 msle: 0.11378139766871449 
Montenegro 	 r2: 0.0 	 msle: 0.0752825576726722 
Grenada 	 r2: 0.0 	 msle: 0.04350414898005307 
Madagascar 	 r2: 0.6818840656916909 	 msle: 0.0016649016698263622 
Ecuador 	 r2: -152.01345919694344 	 msle: 0.07706828335176504 
Gabon 	 r2: -97.26999193843358 	 msle: 0.09342901977960957 
El Salvador 	 r2: -20.171662833543177 	 msle: 0.044273673995525585 
Cyprus 	 r2: -3948.5767728568876 	 msle: 0.0843075610181824 
Libya 	 r2: -4.585905475431464 	 msle: 0.31491254333085567 
Syria 	 r2: -0.4495352438536071 	 msle: 0.005758853105310413 
Zambia 	 r2: -252.40196545737393 	 msle: 0.18856465155604105 
Djibouti 	 r2: -0.8456669641452701 	 msle: 0.0030389350629218804 
Angola 	 r2: -25.774167453653444 	 msle: 0.016592244956940373 
Cambodia 	 r2: -14243.627569890194 	 msle: 0.1258460493328881 
Lesotho 	 r2: -1.4751912449084306 	 msle: 0.06526471766797642 
Namibia 	 r2: -0.8779664933524565 	 msle: 0.013601322248845816 
Iran 	 r2: -12.935502087748064 	 msle: 0.013155787679740221 
Saint Vincent and the Grenadines 	 r2: -25.47363099357408 	 msle: 0.006495141531190539 
Jamaica 	 r2: -5113.993859179161 	 msle: 0.11364945931680796 
Tanzania 	 r2: 0.0 	 msle: 0.1729969801662906 
